Course Name,Learning Platform,Course Link,Image Link,Discounted Price,Initial Price,Coupon Link
Microsoft Power BI – Curso de Power BI Desktop,www.udemy.com,https://www.real.discount/offer/microsoft-power-bi-curso-de-power-bi-desktop/,https://www.real.discount/wp-content/uploads/2020/07/2587102_4a49_7-400x225.jpg,$0.00,$65.00,https://www.udemy.com/course/curso-microsoft-power-bi/?couponCode=AGO20-1
Deep Web- The complete Introduction to the hidden web,www.udemy.com,https://www.real.discount/offer/deep-web-the-complete-introduction-to-the-hidden-web/,https://www.real.discount/wp-content/uploads/2020/07/2955276_28ec_2-400x225.jpg,$0.00,$60.00,https://www.udemy.com/course/the-complete-introduction-to-the-deep-web/?couponCode=53C08A7CD1862F03247A
Remote Teaching // How To Record Lectures at Home,www.udemy.com,https://www.real.discount/offer/remote-teaching-how-to-record-lectures-at-home/,https://www.real.discount/wp-content/uploads/2020/05/2931536_dd9d-400x225.jpg,$0.00,$20.00,https://www.udemy.com/course/remote-teaching-how-to-record-lectures-at-home/?couponCode=F857A4F4E9B553594CF3
How to make a promotional video that sell,www.udemy.com,https://www.real.discount/offer/how-to-make-a-promotional-video-that-sell/,https://www.real.discount/wp-content/uploads/2020/07/3005532_fc5b_4-400x225.jpg,$0.00,$20.00,https://www.udemy.com/course/how-to-create-business-marketing-video/?couponCode=63EC83DE6CB4D9395C43
"Not-for-Profit Accounting-Charities, Colleges, & Health Care",www.udemy.com,https://www.real.discount/offer/not-for-profit-accounting-charities-colleges-health-care/,https://www.real.discount/wp-content/uploads/2019/09/2547827_39ef-400x225.jpg,$0.00,$175.00,http://click.linksynergy.com/fs-bin/click?id=bnwWbXPyqPU&subid=&offerid=323058.1&type=10&tmpid=14537&RD_PARM1=https://www.udemy.com/course/not-for-profit-accounting-charities-colleges-health-care/?couponCode=3BED4D81FF2A07993489
PowerPoint – Meisterkurs – Erstellen und präsentieren,www.udemy.com,https://www.real.discount/offer/powerpoint-meisterkurs-erstellen-und-prasentieren/,https://www.real.discount/wp-content/uploads/2020/08/2736626_3d1d_2-400x225.jpg,$0.00,$100.00,https://www.udemy.com/course/powerpoint-meisterkurs-ohne-vorkenntnisse-beeindrucken/?couponCode=FACEBOOK1
C Corporation Income Tax (Form 1120),www.udemy.com,https://www.real.discount/offer/c-corporation-income-tax-form-1120/,https://www.real.discount/wp-content/uploads/2020/05/2726536_3f1c_2-400x225.jpg,$0.00,$200.00,http://click.linksynergy.com/fs-bin/click?id=bnwWbXPyqPU&subid=&offerid=323058.1&type=10&tmpid=14537&RD_PARM1=https://www.udemy.com/course/c-corporation-income-tax-form-1120/?couponCode=0D806731D5918C24010A
Neu als Führungskraft – Der optimale Einstieg,www.udemy.com,https://www.real.discount/offer/neu-als-fuhrungskraft-der-optimale-einstieg/,https://www.real.discount/wp-content/uploads/2020/08/neu-als-fhrungskraft-der-optimale-einstieg-otecmmw0vyaen21np8b6q3hdoyv26r2qli53j0yvi2-400x225.jpg,$0.00,$100.00,https://www.udemy.com/course/neu-als-fuhrungskraft-der-optimale-einstieg/?couponCode=FACEBOOK1
QuickBooks Online Not for Profit Organization,www.udemy.com,https://www.real.discount/offer/quickbooks-online-not-for-profit-organization/,https://www.real.discount/wp-content/uploads/2020/03/2870128_3707-400x225.jpg,$0.00,$200.00,http://click.linksynergy.com/fs-bin/click?id=bnwWbXPyqPU&subid=&offerid=323058.1&type=10&tmpid=14537&RD_PARM1=https://www.udemy.com/course/quickbooks-online-not-for-profit-organization/?couponCode=58DB6CA158DBB1C20A0E
QuickBooks Desktop Job Costing,www.udemy.com,https://www.real.discount/offer/quickbooks-desktop-job-costing/,https://www.real.discount/wp-content/uploads/2020/03/2602794_159d-400x225.jpg,$0.00,$200.00,http://click.linksynergy.com/fs-bin/click?id=bnwWbXPyqPU&subid=&offerid=323058.1&type=10&tmpid=14537&RD_PARM1=https://www.udemy.com/course/quickbooks-desktop-job-costing/?couponCode=30D3A3FB51B2F0F9A9DE
How to Succeed as an Entrepreneur – A Beginners Guide,www.udemy.com,https://www.real.discount/offer/how-to-succeed-as-an-entrepreneur-a-beginners-guide/,https://www.real.discount/wp-content/uploads/2020/04/how-to-succeed-as-an-entrepreneur-a-beginners-guide-ont7fygvutcrp46ig7isyynjh0lq3bwv21hdmfrvne-400x225.jpg,$0.00,$130.00,https://www.udemy.com/course/how-to-succeed-as-an-entrepreneur-a-beginners-guide/?couponCode=YOUACCELAUGBANG
Governmental Accounting 100 [Updated],www.udemy.com,https://www.real.discount/offer/governmental-accounting-100/,https://www.real.discount/wp-content/uploads/2019/06/2419864_519c-400x225.jpg,$0.00,,https://www.udemy.com/course/governmental-accounting-100/?couponCode=2ABF1397C1B2BAE3EC97
QuickBooks Desktop Not for Profit Organizations,www.udemy.com,https://www.real.discount/offer/quickbooks-desktop-not-for-profit-organizations/,https://www.real.discount/wp-content/uploads/2020/03/2670362_3523-400x225.jpg,$0.00,$200.00,http://click.linksynergy.com/fs-bin/click?id=bnwWbXPyqPU&subid=&offerid=323058.1&type=10&tmpid=14537&RD_PARM1=https://www.udemy.com/course/quickbooks-desktop-not-for-profit-organizations/?couponCode=A8355545A597A4E7A63D
